City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,tikapur,NP,28.5,81.13,78.01,95,0,3.0,1602856784
1,kavieng,PG,-2.57,150.8,82.04,77,97,12.53,1602856855
2,busselton,AU,-33.65,115.33,55.99,51,0,14.12,1602856857
3,launceston,AU,-41.45,147.17,44.6,70,90,1.12,1602856592
4,lebu,CL,-37.62,-73.65,58.48,70,0,3.96,1602856859
5,albany,US,42.6,-73.97,53.01,88,100,0.69,1602856808
6,zarand,IR,30.81,56.56,55.69,26,0,6.67,1602856862
7,san patricio,US,28.02,-97.52,66.2,77,90,18.34,1602856863
8,bredasdorp,ZA,-34.53,20.04,71.6,60,0,19.46,1602856864
9,butaritari,KI,3.07,172.79,81.93,74,0,13.78,1602856865
10,hasaki,JP,35.73,140.83,60.8,77,75,12.75,1602856866
11,kuminskiy,RU,58.67,66.57,50.22,77,100,12.06,1602856868
12,iqaluit,CA,63.75,-68.51,33.8,100,90,4.7,1602856728
13,vaini,TO,-21.2,-175.2,75.2,94,90,2.24,1602856870
14,mataura,NZ,-46.19,168.86,43.0,82,59,3.0,1602856871
15,cherskiy,RU,68.75,161.3,27.1,94,46,3.53,1602856872
16,ushuaia,AR,-54.8,-68.3,44.6,66,20,17.22,1602856874
17,adjumani,UG,3.38,31.79,84.36,62,63,3.15,1602856875
18,wapakoneta,US,40.57,-84.19,42.01,69,1,4.7,1602856762
19,vila do maio,CV,15.13,-23.22,87.8,62,20,9.17,1602856877
20,bluff,NZ,-46.6,168.33,43.0,82,29,3.0,1602856878
21,leningradskiy,RU,69.38,178.42,35.22,91,100,14.34,1602856879
22,atuona,PF,-9.8,-139.03,78.37,77,1,18.37,1602856881
23,bitung,ID,1.45,125.18,77.0,94,20,2.24,1602856882
24,scarborough,GB,54.28,-0.4,53.01,75,65,4.0,1602856803
25,oksfjord,NO,70.24,22.35,37.4,86,90,3.36,1602856884
26,rikitea,PF,-23.12,-134.97,73.51,79,100,17.18,1602856885
27,ayan,RU,56.45,138.17,31.91,87,24,8.39,1602856887
28,kamenka,RU,51.32,42.77,66.99,47,100,11.14,1602856888
29,constitucion,CL,-35.33,-72.42,58.86,74,3,12.26,1602856889
30,mar del plata,AR,-38.0,-57.56,62.6,88,75,14.99,1602856723
31,tuktoyaktuk,CA,69.45,-133.04,21.2,85,90,24.16,1602856892
32,jamestown,US,42.1,-79.24,43.0,100,90,3.36,1602856893
33,kavaratti,IN,10.57,72.64,81.59,78,0,16.02,1602856895
34,diffa,NE,13.32,12.61,103.6,11,2,14.47,1602856896
35,sembakung,ID,3.82,117.25,75.79,89,100,0.98,1602856897
36,laxou,FR,48.68,6.15,51.8,76,90,9.17,1602856898
37,nanortalik,GL,60.14,-45.24,42.48,77,47,11.01,1602856900
38,northam,GB,51.03,-4.22,55.99,69,25,3.0,1602856901
39,bonavista,CA,48.65,-53.11,50.0,80,0,1.99,1602856902
40,petatlan,MX,17.52,-101.27,78.8,83,40,3.62,1602856904
41,port alfred,ZA,-33.59,26.89,68.2,76,93,28.63,1602856905
42,belaya gora,RU,68.53,146.42,24.24,98,100,16.04,1602856906
43,sychevka,RU,55.83,34.27,41.95,70,48,8.86,1602856907
44,herat,AF,34.5,62.0,68.0,19,0,9.17,1602856908
45,yellandu,IN,17.6,80.33,78.22,85,100,0.98,1602856909
46,hermanus,ZA,-34.42,19.23,84.0,43,0,4.0,1602856910
47,chara,RU,56.91,118.26,25.63,90,95,8.39,1602856913
48,carnarvon,AU,-24.87,113.63,69.8,77,0,25.28,1602856914
49,batesville,US,35.77,-91.64,48.0,75,20,4.38,1602856692
50,koriyama,JP,37.4,140.38,55.0,77,100,2.08,1602856916
51,katsuura,JP,35.13,140.3,62.6,72,75,11.41,1602856917
52,marica,BR,-22.92,-42.82,77.0,61,75,8.05,1602856918
53,dikson,RU,73.51,80.55,28.65,97,100,9.4,1602856919
54,qaanaaq,GL,77.48,-69.36,23.61,81,1,7.65,1602856920
55,nesna,NO,66.2,13.02,48.2,87,75,11.41,1602856921
56,thompson,CA,55.74,-97.86,24.8,92,75,14.99,1602856923
57,punta arenas,CL,-53.15,-70.92,42.8,87,75,9.17,1602856924
58,cabo san lucas,MX,22.89,-109.91,73.4,73,5,3.36,1602856925
59,tshela,CD,-4.98,12.93,84.7,57,98,4.7,1602856928
60,chicama,PE,-7.84,-79.15,60.8,87,90,6.93,1602856929
61,gizo,SB,-8.1,156.84,81.7,74,4,4.03,1602856931
62,metro,ID,-5.11,105.31,77.68,89,100,8.34,1602856834
63,guiyang,CN,26.58,106.72,53.6,87,90,8.95,1602856660
64,guerrero negro,MX,27.98,-114.06,71.13,70,0,9.06,1602856935
65,kutum,SD,14.2,24.67,89.67,12,0,6.04,1602856937
66,vanimo,PG,-2.67,141.3,75.79,89,100,7.14,1602856939
67,fort nelson,CA,58.81,-122.7,23.0,92,90,4.7,1602856940
68,liepaja,LV,56.54,21.04,50.0,61,84,8.05,1602856814
69,okhotsk,RU,59.38,143.3,26.8,86,0,6.98,1602856942
70,arraial do cabo,BR,-22.97,-42.03,75.2,73,75,12.75,1602856943
71,vila franca do campo,PT,37.72,-25.43,69.8,77,75,10.29,1602856944
72,geraldton,AU,-28.77,114.6,66.2,72,1,21.92,1602856946
73,tucuma,BR,-0.18,-50.05,86.05,60,95,7.27,1602856947
74,chernihiv,UA,51.0,32.0,54.72,68,100,3.15,1602856948
75,bubaque,GW,11.28,-15.83,83.08,79,100,7.16,1602856949
76,ilulissat,GL,69.22,-51.1,44.6,52,75,16.11,1602856950
77,kolosovka,RU,56.47,73.61,49.39,56,39,16.33,1602856951
78,nikolskoye,RU,59.7,30.79,43.0,60,75,11.18,1602856952
79,mahebourg,MU,-20.41,57.7,78.8,65,20,11.41,1602856954
80,deblin,PL,51.56,21.85,50.0,46,100,2.64,1602856955
81,roald,NO,62.58,6.13,50.0,81,4,6.93,1602856956
82,san quintin,MX,30.48,-115.95,69.71,59,12,6.42,1602856957
83,san juan,AR,-31.54,-68.54,80.91,31,0,9.62,1602856958
84,yonibana,SL,8.44,-12.24,86.61,70,80,2.8,1602856959
85,kurumkan,RU,54.3,110.3,28.08,88,11,9.62,1602856960
86,tasiilaq,GL,65.61,-37.64,39.2,93,75,3.36,1602856961
87,pakxan,LA,18.38,103.66,76.55,78,100,8.19,1602856963
88,banff,CA,51.18,-115.57,30.0,82,100,7.36,1602856964
89,aluksne,LV,57.42,27.05,40.82,78,92,5.21,1602856965
90,upernavik,GL,72.79,-56.15,36.95,74,100,6.64,1602856966
91,los llanos de aridane,ES,28.66,-17.92,75.2,69,75,6.93,1602856807
92,george,ZA,-33.96,22.46,69.8,73,0,11.41,1602856968
93,grand baie,MU,-20.02,57.58,77.0,68,7,5.99,1602856969
94,winnemucca,US,40.97,-117.74,28.4,42,1,6.93,1602856970
95,mount isa,AU,-20.73,139.5,75.2,31,0,8.63,1602856972
96,atbasar,KZ,51.8,68.33,55.74,38,100,11.95,1602856973
97,petropavlovsk-kamchatskiy,RU,53.05,158.65,32.0,82,40,2.24,1602856974
98,cape town,ZA,-33.93,18.42,82.4,26,0,13.87,1602856859
99,chokurdakh,RU,70.63,147.92,32.04,99,100,10.0,1602856976
100,praia da vitoria,PT,38.73,-27.07,66.2,88,75,12.59,1602856977
101,sosva,RU,59.18,61.86,47.95,73,80,12.68,1602856978
102,itarema,BR,-2.92,-39.92,88.23,52,39,17.72,1602856979
103,bilma,NE,18.69,12.92,103.15,9,0,7.34,1602856980
104,hobart,AU,-42.88,147.33,46.4,65,100,6.93,1602856870
105,hithadhoo,MV,-0.6,73.08,83.84,74,93,20.42,1602856982
106,anadyr,RU,64.75,177.48,39.2,86,98,11.18,1602856983
107,clarence town,AU,-32.58,151.78,66.0,88,90,4.7,1602856984
108,avarua,CK,-21.21,-159.78,69.8,77,100,5.82,1602856985
109,megion,RU,61.03,76.11,37.4,91,100,13.42,1602856988
110,dabou,CI,5.33,-4.38,82.4,78,40,12.75,1602856989
111,bekhtery,UA,46.25,32.29,69.8,68,40,11.18,1602856990
112,awjilah,LY,29.11,21.29,97.99,13,0,9.71,1602856992
113,khatanga,RU,71.97,102.5,-2.25,92,0,3.31,1602856993
114,lakes entrance,AU,-37.88,147.98,57.0,96,100,1.01,1602856994
115,havelock,US,34.88,-76.9,77.0,88,5,7.94,1602856871
116,pangnirtung,CA,66.15,-65.71,35.6,73,90,2.24,1602856996
117,tura,IN,25.52,90.22,75.36,93,0,3.02,1602856998
118,kurilsk,RU,45.23,147.88,49.84,72,73,14.7,1602856999
119,syracuse,IT,37.09,15.28,75.0,56,20,9.17,1602857000
120,salalah,OM,17.02,54.09,84.2,70,0,9.17,1602856895
121,saint george,US,37.1,-113.58,59.0,15,1,17.22,1602856916
122,pevek,RU,69.7,170.31,37.51,82,78,13.4,1602857003
123,halifax,CA,44.65,-63.57,61.0,87,20,10.29,1602857004
124,guamuchil,MX,25.47,-108.1,73.99,89,4,1.01,1602856799
125,veraval,IN,20.9,70.37,84.99,77,100,10.54,1602857007
126,nanchang,CN,28.68,115.88,60.51,86,100,11.32,1602857008
127,ixtapa,MX,20.7,-105.2,84.0,94,90,4.7,1602857009
128,lagoa,PT,39.05,-27.98,65.34,81,84,13.29,1602857010
129,cidreira,BR,-30.18,-50.21,68.14,68,8,15.26,1602857012
130,luohe,CN,33.57,114.04,58.37,51,0,5.01,1602857013
131,maniitsoq,GL,65.42,-52.9,41.61,90,100,24.87,1602857014
132,kapaa,US,22.08,-159.32,73.4,100,75,5.82,1602856866
133,dongtai,CN,32.85,120.31,56.1,84,0,3.2,1602857017
134,port victoria,KE,0.09,33.98,78.03,60,0,8.55,1602857018
135,bambous virieux,MU,-20.34,57.76,78.8,65,20,11.41,1602857019
136,olinda,BR,-8.01,-34.86,82.51,63,97,12.01,1602857020
137,yellowknife,CA,62.46,-114.35,24.01,85,75,13.87,1602856728
138,humen,CN,22.82,113.67,84.2,58,16,15.66,1602857022
139,dunedin,NZ,-45.87,170.5,44.01,82,71,1.01,1602856770
140,tairua,NZ,-37.02,175.85,48.99,71,0,4.0,1602857024
141,sorland,NO,67.67,12.69,44.6,81,90,9.17,1602857025
142,barrow,US,71.29,-156.79,17.6,72,20,17.22,1602857027
143,yar-sale,RU,66.83,70.83,32.11,96,100,14.97,1602857028
144,castro,BR,-24.79,-50.01,68.49,60,0,8.43,1602856851
145,progreso,MX,21.28,-89.67,82.0,88,5,2.39,1602856951
146,faanui,PF,-16.48,-151.75,78.35,80,30,8.28,1602857031
147,mogadishu,SO,2.04,45.34,84.2,66,40,14.99,1602856901
148,kwinana,AU,-32.25,115.77,63.0,67,0,10.29,1602857033
149,stromness,GB,58.97,-3.3,48.2,81,90,9.17,1602857034
150,marsh harbour,BS,26.54,-77.06,82.38,78,100,10.36,1602856814
151,ribeira grande,PT,38.52,-28.7,73.4,69,20,13.87,1602857036
152,simbahan,PH,6.3,120.58,79.34,88,100,20.6,1602857038
153,isangel,VU,-19.55,169.27,69.22,83,100,11.92,1602857039
154,sangueya,GN,10.7,-14.37,92.46,57,99,2.28,1602857040
155,padang,ID,-0.95,100.35,79.16,77,55,3.2,1602857041
156,abu dhabi,AE,24.47,54.37,91.4,31,0,11.41,1602857043
157,port elizabeth,ZA,-33.92,25.57,68.0,77,40,24.16,1602857044
158,tiksi,RU,71.69,128.87,21.69,97,98,5.79,1602857045
159,ust-maya,RU,60.42,134.53,15.6,93,79,3.24,1602857046
160,kushiro,JP,42.98,144.37,46.36,68,100,1.61,1602857047
161,mancio lima,BR,-7.61,-72.9,83.12,63,95,2.08,1602857048
162,atar,MR,20.52,-13.05,100.22,14,0,15.43,1602857049
163,hilo,US,19.73,-155.09,73.4,73,40,5.82,1602857050
164,airai,TL,-8.93,125.41,61.45,93,90,0.89,1602857051
165,vardo,NO,70.37,31.11,32.0,77,40,11.41,1602857053
166,tingi,TZ,-11.3,35.03,74.57,59,32,4.97,1602857054
167,trincomalee,LK,8.57,81.23,83.62,65,77,10.89,1602857055
168,kahului,US,20.89,-156.47,73.0,73,1,3.36,1602856809
169,ponta do sol,PT,32.67,-17.1,73.4,56,40,11.41,1602856770
170,zunyi,CN,27.69,106.91,52.5,91,100,3.96,1602857059
171,namibe,AO,-15.2,12.15,80.6,65,53,17.22,1602857060
172,sabang,ID,5.89,95.32,83.14,76,48,20.04,1602857061
173,makakilo city,US,21.35,-158.09,77.0,94,20,3.36,1602857014
174,mitu,CO,1.2,-70.17,81.54,82,81,2.35,1602857063
175,ostrovnoy,RU,68.05,39.51,36.59,79,100,20.78,1602857064
176,meulaboh,ID,4.14,96.13,78.98,83,77,1.07,1602857066
177,gourcy,BF,13.22,-2.35,100.15,20,29,8.52,1602857067
178,caravelas,BR,-17.71,-39.25,75.74,87,99,7.81,1602857068
179,severo-kurilsk,RU,50.68,156.12,42.26,68,37,24.58,1602857069
180,kysyl-syr,RU,63.9,122.76,24.67,97,100,5.77,1602857070
181,kolvereid,NO,64.87,11.6,46.4,93,75,11.41,1602857071
182,okakarara,NA,-20.58,17.43,96.13,9,82,11.07,1602857072
183,medina del campo,ES,41.31,-4.91,57.0,40,20,2.24,1602857073
184,fort-shevchenko,KZ,44.51,50.26,62.42,63,0,12.88,1602857074
185,adeje,ES,28.12,-16.73,78.01,61,20,19.46,1602857075
186,pisco,PE,-13.7,-76.22,64.4,82,40,6.93,1602857076
187,bengkulu,ID,-3.8,102.27,78.44,85,100,3.76,1602857078
188,saint-philippe,RE,-21.36,55.77,78.8,69,50,10.29,1602857079
189,otrado-kubanskoye,RU,45.24,40.84,74.8,42,37,3.53,1602857081
190,santona,ES,43.44,-3.46,57.99,71,75,10.29,1602857082
191,lompoc,US,34.64,-120.46,60.8,71,1,4.7,1602857083
192,san luis,AR,-33.3,-66.34,78.51,33,0,12.3,1602856889
193,virden,US,39.5,-89.77,42.01,66,0,3.0,1602857085
194,leh,IN,34.17,77.58,44.47,34,0,3.02,1602857086
195,new norfolk,AU,-42.78,147.06,42.01,68,100,2.44,1602857087
196,elko,US,41.0,-115.5,34.0,50,1,1.32,1602856823
197,amarante do maranhao,BR,-5.57,-46.74,97.52,33,1,5.08,1602857089
198,lavrentiya,RU,65.58,-171.0,38.84,93,100,29.42,1602857090
199,walvis bay,NA,-22.96,14.51,78.8,41,100,12.75,1602856861
200,quebo,GW,11.33,-14.93,92.46,58,100,3.11,1602857093
201,berlevag,NO,70.86,29.09,32.0,81,75,2.24,1602857094
202,ankang,CN,32.68,109.02,52.0,39,2,7.0,1602857095
203,port-gentil,GA,-0.72,8.78,84.2,66,75,16.11,1602857096
204,ayorou,NE,14.73,0.92,103.48,13,0,5.99,1602857097
205,povenets,RU,62.85,34.83,38.28,83,87,10.65,1602857098
206,basco,PH,20.45,121.97,81.91,81,100,23.4,1602857099
207,tomatlan,MX,19.93,-105.25,78.17,83,89,2.21,1602857101
208,vila,PT,42.03,-8.16,64.0,48,97,8.99,1602857102
209,whitehorse,CA,60.72,-135.05,23.0,92,90,16.11,1602857104
210,souillac,MU,-20.52,57.52,78.8,65,20,11.41,1602857106
211,korla,CN,41.76,86.15,49.93,44,0,2.39,1602857107
212,torbay,CA,47.67,-52.73,54.0,100,90,3.36,1602857108
213,tara,RU,56.89,74.37,47.7,59,33,13.71,1602857109
214,longonjo,AO,-12.91,15.25,80.6,51,75,16.11,1602857110
215,puerto ayora,EC,-0.74,-90.35,71.01,88,97,5.01,1602857112
216,otukpo,NG,7.19,8.13,85.91,70,54,2.68,1602857114
217,georgetown,MY,5.41,100.34,82.4,83,20,2.24,1602857116
218,russkaya polyana,UA,49.42,31.92,65.77,64,100,4.83,1602857117
219,laguna,US,38.42,-121.42,62.01,66,1,5.53,1602857118
220,kodiak,US,57.79,-152.41,30.2,80,1,6.93,1602857112
221,shubarshi,KZ,48.59,57.19,58.59,36,99,7.25,1602857120
222,tecoanapa,MX,16.52,-98.75,79.93,76,53,5.1,1602857121
223,chuy,UY,-33.7,-53.46,67.62,69,100,10.54,1602857122
224,panzhihua,CN,26.59,101.71,62.02,80,100,3.15,1602857123
225,lorengau,PG,-2.02,147.27,81.39,75,100,6.55,1602857124
226,namatanai,PG,-3.67,152.43,80.17,76,26,8.25,1602857127
227,kautokeino,NO,69.01,23.04,35.35,84,100,8.66,1602857128
228,labuan,MY,5.28,115.24,77.0,88,20,6.93,1602857129
229,mehamn,NO,71.04,27.85,37.4,69,75,6.93,1602857130
230,norman wells,CA,65.28,-126.83,19.4,79,75,13.87,1602857131
231,westport,US,41.14,-73.36,64.99,77,90,12.75,1602857078
232,galesong,ID,-5.32,119.37,78.8,88,40,5.82,1602857133
233,biak,ID,-0.91,122.88,78.22,82,99,3.38,1602857134
234,bilibino,RU,68.05,166.44,23.0,95,17,1.99,1602857135
235,minnedosa,CA,50.25,-99.84,14.0,78,20,10.29,1602857136
236,rosarito,MX,32.33,-117.03,66.2,63,1,4.7,1602857137
237,paamiut,GL,61.99,-49.67,42.46,78,100,31.05,1602857139
238,fortuna,US,40.6,-124.16,50.0,87,1,4.7,1602857104
239,quatre cocos,MU,-20.21,57.76,78.8,65,20,11.41,1602857142
240,pandamatenga,BW,-18.53,25.63,92.91,13,0,11.1,1602857143
241,araouane,ML,18.9,-3.53,102.47,8,0,12.19,1602857144
242,mataram,ID,-8.58,116.12,80.6,78,75,3.36,1602857145
243,balurghat,IN,25.22,88.77,82.24,70,0,2.35,1602856939
244,juazeiro,BR,-9.41,-40.5,86.0,48,19,10.29,1602857147
245,meadow lake,US,34.8,-106.54,48.2,39,1,16.11,1602857148
246,port macquarie,AU,-31.43,152.92,64.99,83,94,4.54,1602857149
247,vao,NC,-22.67,167.48,69.75,83,19,18.86,1602857152
248,aklavik,CA,68.22,-135.01,21.2,73,90,13.87,1602857153
249,belfast,GB,54.58,-5.93,53.6,62,60,10.29,1602857154
250,codrington,AU,-38.27,141.97,50.56,95,100,2.08,1602857155
251,mongo,TD,12.18,18.69,97.52,21,0,6.71,1602857156
252,qui nhon,VN,13.77,109.23,79.92,86,100,7.38,1602856984
253,shenjiamen,CN,29.96,122.3,63.45,83,100,16.17,1602857161
254,peniche,PT,39.36,-9.38,69.01,66,37,8.99,1602857162
255,saskylakh,RU,71.92,114.08,10.17,95,80,2.89,1602857163
256,grindavik,IS,63.84,-22.43,48.2,76,90,4.7,1602857164
257,tutoia,BR,-2.76,-42.27,88.45,56,49,13.96,1602857166
258,arman,RU,59.7,150.17,29.95,85,0,2.19,1602857167
259,mashhad,IR,36.3,59.61,62.6,29,0,6.93,1602857168
260,perth,AU,-31.93,115.83,64.4,52,0,9.17,1602856882
261,gibara,CU,21.11,-76.13,80.6,88,75,2.24,1602857170
262,yaroslavl,RU,57.63,39.87,41.0,75,40,6.71,1602857171
263,svetlogorsk,BY,52.63,29.73,52.14,73,36,4.97,1602857172
264,narsaq,GL,60.92,-46.05,53.6,30,40,19.46,1602857173
265,njombe,TZ,-9.33,34.77,69.33,58,54,10.63,1602857174
266,ketchikan,US,55.34,-131.65,42.8,93,20,10.29,1602857093
267,egvekinot,RU,66.32,-179.17,33.28,100,100,1.52,1602857176
268,roma,US,43.21,-75.46,48.2,87,90,5.59,1602857046
269,san cristobal,VE,7.77,-72.22,82.4,58,40,4.7,1602857178
270,half moon bay,US,37.46,-122.43,80.6,14,1,26.4,1602857180
271,divicani,BA,44.37,17.33,51.8,93,75,6.93,1602857181
272,habiganj,BD,24.38,91.42,86.0,84,20,3.56,1602857182
273,faya,SA,18.39,42.45,77.0,10,0,6.93,1602857183
274,miri,MY,4.41,114.01,82.4,83,40,4.7,1602857185
275,puerto del rosario,ES,28.5,-13.86,75.2,64,20,11.41,1602857186
276,santa maria,BR,-29.68,-53.81,75.52,55,0,9.69,1602857187
277,kulu,TR,39.1,33.08,75.18,24,0,1.79,1602857188
278,mattru,SL,7.62,-11.83,85.05,74,98,3.98,1602857189
279,te anau,NZ,-45.42,167.72,39.25,91,99,3.89,1602857191
280,mariental,NA,-24.63,17.97,98.91,9,2,7.02,1602857192
281,san pedro,PH,14.35,121.02,84.2,79,20,4.7,1602857193
282,dabakala,CI,8.37,-4.43,87.51,63,99,2.62,1602857194
283,yanliang,CN,34.66,109.23,53.01,100,93,4.47,1602857195
284,lufilufi,WS,-13.87,-171.6,77.0,100,90,5.82,1602857196
285,honningsvag,NO,70.98,25.97,37.4,69,75,6.93,1602857197
286,east london,ZA,-33.02,27.91,68.0,77,75,19.46,1602857199
287,iskateley,RU,67.68,53.15,30.4,94,100,4.45,1602857200
288,urucara,BR,-2.54,-57.76,95.9,37,60,5.28,1602857201
289,angoche,MZ,-16.23,39.91,78.89,70,7,12.5,1602857203
290,bereda,ES,43.27,-7.54,68.0,52,98,5.99,1602857204
291,chilliwack,CA,49.17,-121.94,48.0,96,100,2.1,1602857200
292,milyutinskaya,RU,48.63,41.67,68.45,38,85,7.38,1602857206
293,ibra,OM,22.69,58.53,81.57,16,0,12.88,1602857208
294,taksimo,RU,56.34,114.88,23.0,84,55,6.29,1602857209
295,minab,IR,27.15,57.08,89.6,21,0,9.17,1602857210
296,itacoatiara,BR,-3.14,-58.44,93.69,43,20,4.99,1602857211
